Sex,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots
M,21.5,82.9,267.5,147.5,290,705,476.26
M,21.5,92.54,245,182.5,285,712.5,454.41
M,21,103.06,285,192.5,302.5,780,474.01
M,20.5,65.62,205,120,307.5,632.5,497.71
M,20.5,82.76,270,167.5,315,752.5,508.83
M,20.5,65.76,202.5,150,262.5,615,483.17
M,20.5,64.9,200,115,220,535,424.49
M,20.5,82.16,242.5,162.5,257.5,662.5,449.83
M,20.5,89.48,250,170,265,685,444.22
M,20.5,113.54,237.5,185,277.5,700,409.78
M,20.5,82.46,230,155,277.5,662.5,448.9
M,21,104.82,292.5,192.5,315,800,482.81
M,20.5,83,262.5,137.5,332.5,732.5,494.5
M,20.5,89.66,225,155,260,640,414.62
M,20,83,282.5,157.5,287.5,727.5,491.13
M,20.5,104.9,262.5,150,280,692.5,417.8
M,21,52.55,147.5,95,192.5,435,412.52
M,20.5,52.5,167.5,105,200,472.5,448.49
M,20,57.5,187.5,107.5,250,545,476.73
M,19.5,82,230,162.5,255,647.5,440.13
M,19.5,82.46,255,167.5,287.5,710,481.08
M,20,58.36,182.5,110,242.5,535,462.1
M,19,102.52,285,215,290,790,481.14
M,18.5,82.66,252.5,145,265,662.5,448.28
M,18.5,92.62,217.5,137.5,245,600,382.51
M,17.5,92.8,235,157.5,235,627.5,399.66
M,17.5,82.58,237.5,147.5,280,665,450.22
M,18,73.64,240.5,142.5,273,656,476.23
M,17.5,92.12,245,137.5,262.5,645,412.27
M,17.5,91.4,237.5,152.5,252.5,642.5,412.26
M,17.5,92.32,225,132.5,242.5,600,383.11
M,18,80.76,220,127.5,237.5,585,401.16
M,18,80.76,252.5,160,285,697.5,478.3
M,18,92.76,225,157.5,275,657.5,418.86
M,17.5,65.98,212.5,115,232.5,560,438.87
M,17.5,92.84,283.5,162.5,300,746,475.04
M,17.5,92.96,288,185,300,773,491.92
M,17.5,65.96,222.5,130,225,577.5,452.69
M,18,82.72,242.5,145,287.5,675,456.55
M,18,72.94,195,82.5,232.5,510,372.57
