Sex,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots
F,19.5,56.27,112.5,60,120,292.5,337.97
F,20.5,54.53,107.5,62.5,120,290,342.17
F,21.5,56.19,105,57.5,127.5,290,335.39
F,21.5,56.43,100,55,135,290,334.45
F,21.5,55.88,105,57.5,117.5,280,325.01
F,19.5,55.94,107.5,55,117.5,280,324.78
F,19.5,56.94,105,62.5,110,277.5,318.15
F,19.5,55.15,85,65,125,275,322.02
F,24.5,56.27,100,55,117.5,272.5,314.86
F,21.5,56.07,102.5,47.5,117.5,267.5,309.81
F,21.5,56.15,95,50,115,260,300.84
F,19.5,55.94,87.5,52.5,100,240,278.39
F,19.5,61.36,150,105,165,420,459.1
F,23.5,62.73,145,77.5,172.5,395,425.94
F,23.5,62.87,145,70,172.5,387.5,417.29
F,24,62.72,140,82.5,150,372.5,401.72
F,24.5,62.23,127.5,82.5,160,370,400.95
F,22.5,62.95,137.5,62.5,150,350,376.61
F,19.5,61.73,112.5,75,157.5,345,375.72
F,24,60.61,125,57.5,152.5,335,369.01
F,21.5,62.08,115,60,142.5,317.5,344.57
F,21.5,61.19,107.5,65,142.5,315,344.92
F,22.5,62.39,115,47.5,137.5,300,324.58
F,22,60.61,107.5,55,125,287.5,316.69
F,22.5,61.81,105,57.5,115,277.5,301.97
F,20.5,57.46,100,60,112.5,272.5,310.57
F,19.5,62.81,105,55,110,270,290.92
F,21.5,57.05,80,60,117.5,257.5,294.85
F,21.5,57.97,97.5,55,105,257.5,291.8
F,21,61.06,82.5,47.5,122.5,252.5,276.85
F,19.5,70.75,172.5,107.5,175,455,457.39
F,23.5,68.36,167.5,95,185,447.5,458.65
F,23.5,71.04,165,92.5,170,427.5,428.77
F,21.5,69.48,147.5,102.5,170,420,426.51
F,21.5,69.83,160,77.5,182.5,420,425.31
F,19.5,72,155,82.5,177.5,415,413.17
F,19.5,71.28,152.5,87.5,165,405,405.45
F,25,68.12,147.5,80,172.5,400,410.79
F,20.5,69.22,147.5,77.5,155,380,386.71
F,23.5,70.64,137.5,67.5,172.5,377.5,379.81
F,18.5,63.76,132.5,82.5,155,370,395.06
F,19.5,66.99,135,80,152.5,367.5,381.07
F,21.5,68.05,135,82.5,137.5,355,364.79
F,24.5,71.07,125,65,165,355,355.98
F,23.5,69.23,112.5,77.5,155,345,351.06
F,24.5,71.39,110,72.5,160,342.5,342.59
F,20.5,72,135,65,142.5,342.5,340.99
F,20.5,64.61,125,67.5,140,332.5,352.21
F,21.5,69,115,75,142.5,332.5,338.98
F,19.5,70.67,122.5,60,145,327.5,329.43
F,19.5,71.05,110,60,142.5,312.5,313.41
F,20.5,66.25,115,52.5,142.5,310,323.54
F,19.5,70.96,112.5,57.5,117.5,287.5,288.54
F,23.5,63.15,102.5,60,105,267.5,287.28
F,22.5,64.09,85,57.5,117.5,260,276.75
F,19.5,82.31,172.5,85,190,447.5,415.8
F,21.5,81.2,150,97.5,160,407.5,381.15
F,19,81.93,170,70,165,405,377.16
F,24,80.81,135,97.5,160,392.5,367.99
F,23.5,83.05,155,85,152.5,392.5,363.13
F,22.5,80.18,155,62.5,170,387.5,364.71
F,23,72.37,140,77.5,165,382.5,379.75
F,19.5,83.05,132.5,77.5,155,365,337.68
F,22,79.45,135,60,167.5,362.5,342.74
F,20.5,72.83,137.5,82.5,137.5,357.5,353.71
F,24.5,76.69,125,65,150,340,327.31
F,23.5,81.39,125,72.5,140,337.5,315.32
F,18.5,72.76,90,62.5,107.5,260,257.38
F,21.5,96.37,190,107.5,227.5,525,454.65
F,20,102.77,175,82.5,185,442.5,373.69
F,23,86.82,150,102.5,167.5,420,380.55
F,21,97,167.5,80,165,412.5,356.28
F,21.5,87.1,147.5,75,170,392.5,355.11
F,23.5,85.53,137.5,70,155,362.5,330.74
F,19.5,87.07,135,72.5,145,352.5,318.97
F,21.5,91.86,130,55,165,350,309.26
M,29.5,50.8,260,160,130,550,538.71
M,31,58.2,225.5,165,270.5,661,572.26
M,35.5,58.3,215,152.5,205,572.5,494.92
M,30.5,58.45,200,140,220,560,483.07
M,33.5,58.7,185,140,215,540,464.15
M,31,58.5,210,110,215,535,461.17
M,24.5,57.95,167.5,125,205,497.5,432.29
M,48,58.55,172.5,75,235,482.5,415.62
M,24,57.75,155,80,225,460,400.88
M,43.5,65.9,240,137.5,265,642.5,503.98
M,31.5,63.4,210,165,265,640,516.96
M,35.5,65.5,210,155,265,630,496.42
M,30.5,65.75,210,167.5,230,607.5,477.34
M,28,65.05,197.5,155,240,592.5,469.29
M,23,65.45,210,132.5,240,582.5,459.26
M,27.5,64.55,187.5,140,230,557.5,444.16
M,32.5,64.2,185,130,220,535,428
M,38.5,65.9,180,100,255,535,419.66
M,28.5,63.3,167.5,100,235,502.5,406.39
M,37.5,73.55,235,165,287.5,687.5,499.49
M,39,72.55,222.5,145,310,677.5,496.69
M,28.5,72.2,220,150,305,675,496.46
M,34.5,73.1,242.5,142.5,290,675,492.39
M,46.5,73.5,235,175,265,675,490.63
M,38.5,73.15,210,162.5,285,657.5,479.41
M,46,73.9,225,155,277.5,657.5,476.22
M,31,72.5,242.5,150,245,637.5,467.58
M,26.5,73.15,225,140,260,625,455.71
M,24.5,72.85,217.5,160,245,622.5,455.12
M,26.5,73.3,210,157.5,252.5,620,451.46
M,24.5,73.8,215,165,240,620,449.45
M,24.5,73.55,205,137.5,240,582.5,423.21
M,24.5,72.8,195,130,235,560,409.61
M,27.5,82.4,272.5,182.5,315,770,521.95
M,31.5,82.3,267.5,182.5,305,755,512.14
M,26,82.55,257.5,152.5,290,700,474.01
M,34.5,82.35,242.5,165,290,697.5,472.97
M,23.5,81.4,242.5,193.5,260,696,475.1
M,30.5,82.4,217.5,152.5,315.5,685.5,464.67
M,28.5,82.4,257.5,152.5,270,680,460.94
M,26.5,81.45,240,165,250,655,446.95
M,47.5,82.4,205,160,260,625,423.66
M,28.5,82,190,165,255,610,414.64
M,32.5,82.3,207.5,150,245,602.5,408.69
M,36,81.45,140,175,160,475,324.12
M,23,92.25,285,190,372.5,847.5,541.34
M,38.5,93,300,205,342.5,847.5,539.22
M,25.5,92.1,290,192.5,302.5,785,501.81
M,35.5,92.25,267.5,212.5,292.5,772.5,493.43
M,26.5,92.8,255,172.5,345,772.5,492.01
M,30.5,92.65,282.5,192.5,292.5,767.5,489.21
M,30.5,92.2,280,177.5,307.5,765,488.77
M,23.5,92.75,250,190,307.5,747.5,476.21
M,26.5,91.25,242.5,195,285,722.5,463.97
M,25.5,90.95,272.5,160,280,712.5,458.29
M,32,91.85,235,140,250,625,400.06
M,34.5,90.45,170,132.5,225,527.5,340.23
M,23.5,103.56,315,215,337.5,867.5,526.14
M,34.5,103.1,317.5,221,315,853.5,518.6
M,21.5,104.6,330,212.5,310,852.5,514.93
M,29.5,104.45,300,205,332.5,837.5,506.17
M,30.5,103.6,307.5,170,330,807.5,489.67
M,37.5,102.5,315,170,290,775,472.04
M,34.5,103.1,270,170,315,755,458.75
M,25.5,104.4,257.5,185,302.5,745,450.35
M,34,99.75,240,187.5,300,727.5,448.27
M,27.5,104.15,255,180,290,725,438.69
M,33,104.65,267.5,142.5,305,715,431.8
M,29.5,104.25,245,200,265,710,429.44
M,27,104.25,235,165,295,695,420.37
M,37,119.7,375,210,360,945,543.17
M,29,119,345,210,360,915,526.96
M,25.5,118.55,322.5,220,345,887.5,511.78
M,29.5,118.65,322.5,220,322.5,865,498.66
M,43.5,119.15,312.5,215,320,847.5,487.88
M,34.5,116.35,275,235,277.5,787.5,457.04
M,36.5,119.1,275,222.5,285,782.5,450.53
M,28.5,117.35,265,205,292.5,762.5,441.23
M,30.5,118.6,272.5,190,290,752.5,433.87
M,30.5,117,247.5,175,300,722.5,418.51
M,27,162.4,412.5,235,325,972.5,512.12
M,28.5,160.85,357.5,220,340,917.5,484.37
M,25.5,152.9,370,217.5,327.5,915,489.54
M,31.5,137.15,342.5,202.5,337.5,882.5,486.45
M,28,139.6,312.5,260.5,297.5,870.5,477.43
M,29.5,163.2,315,245,310,870,457.56
M,23.5,130,287.5,200,265,752.5,421.36
M,27,136.2,240,240,230,710,392.15
M,16.5,52.6,130,85,162.5,377.5,357.68
M,17.5,48.5,120,67.5,172.5,360,369.19
M,16.5,58.35,170,92.5,177.5,440,380.1
M,17.5,65,177.5,132.5,197.5,507.5,402.2
M,17.5,63.85,172.5,107.5,220,500,401.68
M,17.5,65.15,172.5,110,192.5,475,375.79
M,16.5,64.75,167.5,100,200,467.5,371.58
M,17.5,63.85,152.5,112.5,200,465,373.56
M,16.5,64.8,145,100,202.5,447.5,355.48
M,17.5,63.45,117.5,112.5,160,390,314.83
M,17.5,74,195,135,237.5,567.5,410.67
M,17.5,70.8,200,127.5,230,557.5,415.5
M,17.5,73.45,209,115,217.5,541.5,393.77
M,17.5,72.75,190,100,250,540,395.16
M,17.5,72.8,202.5,105,200,507.5,371.21
M,17.5,73,155,100,217.5,472.5,344.98
M,17.5,73.25,162.5,112.5,190,465,338.75
M,17.5,82.15,216,120,240,576,391.12
M,17.5,76.65,197.5,117.5,240,555,392.74
M,17.5,81.6,205,125,210,540,368.09
M,17.5,78.35,180,102.5,237.5,520,363.06
M,16.5,75.8,180,105,217.5,502.5,358.08
M,17.5,85.8,222.5,137.5,250,610,404.36
M,17.5,91.6,220,125,250,595,381.37
M,17.5,89.15,185,120,237.5,542.5,352.47
M,17.5,92.3,190,120,220,530,338.45
M,17.5,89.55,190,107.5,227.5,525,340.33
M,17.5,90.65,175,115,210,500,322.14
M,17,91.9,180,125,195,500,319.97
M,17.5,101.9,185,120,250,555,338.88
M,17.5,107.65,260,160,250,670,400.11
M,17.5,109.45,195,150,227.5,572.5,339.72
M,17.5,151.9,245,130,255,630,337.65
M,19.5,52.6,140,110,187.5,437.5,414.53
M,19.5,52.75,150,115,172.5,437.5,413.42
M,18.5,52.35,100,85,115,300,285.52
M,22.5,58.9,185,130,215,530,454.25
M,22,58.3,150,122.5,215,487.5,421.44
M,21.5,58.6,155,92.5,200,447.5,385.19
M,19.5,58.1,160,95,190,445,385.82
M,20.5,58.15,150,97.5,192.5,440,381.21
M,21.5,57.9,145,90,177.5,412.5,358.69
M,21,65.75,210,110,273,593,465.94
M,20.5,63.85,205,130,230,565,453.9
M,21.5,65.25,187.5,142.5,222.5,552.5,436.6
M,19,64.1,200,180,170,550,440.52
M,18.5,64.1,180,152.5,202.5,535,428.51
M,21.5,65.5,177.5,110,222.5,510,401.87
M,22.5,65.7,172.5,135,197.5,505,397.02
M,21.5,65.85,190,105,210,505,396.35
M,22.5,63.2,162.5,120,195,477.5,386.65
M,18,64.25,167.5,110,180,457.5,365.78
M,20.5,73.65,250.5,160,271,681.5,494.69
M,22.5,73.15,212.5,145,265,622.5,453.89
M,21.5,73.45,217.5,162.5,242.5,622.5,452.67
M,19.5,72.8,202.5,135,242.5,580,424.24
M,21.5,72.4,192.5,135,245,572.5,420.29
M,20.5,73.4,202.5,135,225,562.5,409.22
M,21.5,73.2,200,125,225,550,400.85
M,22.5,72.35,190,117.5,235,542.5,398.45
M,23,82.25,280,185,305.5,770.5,522.83
M,22.5,83,265,167.5,287.5,720,486.06
M,21.5,81.75,255,145,282.5,682.5,464.73
M,22.5,82.25,237.5,185,260,682.5,463.12
M,22.5,82.55,230,160,277.5,667.5,452
M,22,83,257.5,147.5,255,660,445.56
M,22.5,82.1,237.5,142.5,255,635,431.33
M,22.5,80.4,230,150,245,625,429.71
M,21.5,80.45,217.5,142.5,257.5,617.5,424.39
M,22.5,79.75,222.5,137.5,250,610,421.4
M,21.5,81.15,257.5,190.5,100,548,374.73
M,22.5,82.8,185,130,212.5,527.5,356.59
M,21.5,91.95,257.5,165,325,747.5,478.22
M,22,90.15,240,180,292.5,712.5,460.32
M,22.5,87.4,232.5,172.5,282.5,687.5,451.29
M,22.5,89.35,232.5,132.5,290,655,425.08
M,21.5,89.45,220,130,270,620,402.14
M,22,103.6,255,205,295,755,457.83
M,21.5,103.15,232.5,177.5,312.5,722.5,438.91
M,22.5,104.6,275,157.5,287.5,720,434.9
M,18.5,104.75,265,152.5,295,712.5,430.12
M,19,95.75,210,130,265,605,379.69
M,18.5,94.3,240,147.5,207.5,595,376.08
M,21.5,118.95,310,200,362.5,872.5,502.56
M,20.5,114,290,182.5,330,802.5,469.11
M,22.5,115.2,292.5,200,310,802.5,467.37
M,20.5,117.2,285,200,305,790,457.34
M,22.5,115.8,280,182.5,305,767.5,446.17
M,22.5,118.4,260,192.5,292.5,745,429.79
M,22.5,118.7,252.5,207.5,270,730,420.78
M,22,145.05,340,225,335,900,488.4
M,21.5,153.45,305,197.5,315,817.5,436.96
M,22.5,131.45,280,205,305,790,440.89
M,20.5,132.4,275,170,290,735,409.32
M,22,132.95,270,145,277.5,692.5,385.18
M,20.5,125.9,230,150,240,620,350.6
M,41.5,57,170,105,185,460,405.41
M,42.5,57.15,130,85,170,385,338.54
M,48.5,64.65,182.5,115,227.5,525,417.77
M,44.5,65.9,170,110,240,520,407.89
M,40.5,64.7,170,110,200,480,381.74
M,46,65.25,157.5,132.5,180,470,371.41
M,45.5,62.95,155,107.5,190,452.5,367.54
M,41.5,73.5,180,145,252.5,577.5,419.76
M,41.5,72.45,190,140,245,575,421.93
M,43.5,70.05,175,115,215,505,379.15
M,42.5,73.2,182.5,120,202.5,505,368.05
M,44,71.25,170,112.5,202.5,485,359.91
M,42,71.6,160,115,210,485,358.72
M,41.5,82.1,230,142.5,267.5,640,434.73
M,49,82.45,210,177.5,252.5,640,433.68
M,38.5,80.35,230,152.5,252.5,635,436.74
M,42,81.45,227.5,147.5,247.5,622.5,424.77
M,40.5,83,212.5,157.5,245,615,415.18
M,39.5,82.25,230,140,240,610,413.92
M,47,81.25,205,157.5,215,577.5,394.63
M,43.5,82.7,187.5,130,240,557.5,377.13
M,40,82.15,180,152.5,220,552.5,375.16
M,39.5,82.75,170,130,227.5,527.5,356.71
M,45.5,79.7,140,110,170,420,290.25
M,42.5,92.4,240,172.5,255,667.5,426.03
M,45,86.15,230,160,250,640,423.32
M,40.5,92.65,200,187.5,247.5,635,404.75
M,39.5,91.75,210,145,262.5,617.5,395.47
M,43.5,86.35,227.5,142.5,230,600,396.37
M,43,90.05,190,155,240,585,378.16
M,39.5,91.75,210,110,252.5,572.5,366.65
M,42.5,90.6,200,170,200,570,367.34
M,40,104.25,242.5,187.5,282.5,712.5,430.96
M,40.5,101.7,255,160,275,690,421.66
M,42.5,102.4,235,140,280,655,399.11
M,41,104.9,245,170,240,655,395.18
M,44.5,102.6,220,147.5,270,637.5,388.14
M,47,97.8,200,177.5,242.5,620,385.37
M,43.5,104.2,210,160,245,615,372.06
M,40.5,101,170,125,205,500,306.44
M,46,117.4,302.5,177.5,310,790,457.07
M,42.5,118.1,305,180,260,745,430.16
M,40,114.95,275,192.5,275,742.5,432.76
M,48.5,119.8,260,170,287.5,717.5,412.29
M,41,117.5,250,187.5,247.5,685,396.21
M,39.5,117.9,240,165,280,685,395.75
M,43.5,107.4,220,175,282.5,677.5,404.95
M,47.5,110.3,220,150,210,580,343.16
M,41.5,157.3,285,225,275,785,416.85
M,39,124.4,265,127.5,312.5,705,400.17
M,45.5,126.4,245,160,260,665,375.58
M,42,141.8,100,187.5,280,567.5,309.89
M,42.5,196.15,165,175,140,480,241.15
M,57.5,64.9,175,117.5,200,492.5,390.77
M,50.5,65.45,140,105,192.5,437.5,344.94
M,51,64.85,150,90,182.5,422.5,335.42
M,56,64.85,130,87.5,190,407.5,323.51
M,50.5,64.5,132.5,102.5,130,365,290.96
M,56.5,64.5,120,90,150,360,286.98
M,51.5,65.25,117.5,82.5,147.5,347.5,274.61
M,53.5,73.8,165,107.5,205,477.5,346.15
M,53.5,72.9,160,100,205,465,339.82
M,50.5,82.45,185,150,260,595,403.19
M,49.5,81.9,192.5,142.5,225,560,380.92
M,56.5,80.55,185,110,235,530,363.99
M,51.5,82.55,180,125,225,530,358.89
M,51.5,81.8,185,142.5,185,512.5,348.85
M,57.5,80.95,155,120,232.5,507.5,347.54
M,53.5,80.75,150,105,230,485,332.61
M,51.5,77.35,155,90,200,445,313.14
M,52.5,92.25,217.5,145,270,632.5,404.01
M,50,90.05,240,145,245,630,407.24
M,50,89.25,202.5,160,245,607.5,394.48
M,51.5,92.25,205,150,242.5,597.5,381.65
M,53.5,92.25,165,132.5,200,497.5,317.78
M,57.5,91.55,170,130,190,490,314.15
M,49.5,91.7,180,95,210,485,310.7
M,54,103.35,275,152.5,292.5,720,437.04
M,53.5,103.9,255,147.5,260,662.5,401.26
M,49.5,98.9,210,125,262.5,597.5,369.55
M,56.5,102.6,175,140,212.5,527.5,321.16
M,58.5,94.55,145,117.5,177.5,440,277.76
M,49,108.55,210,167.5,252.5,630,375.01
M,54.5,107.85,250,142.5,235,627.5,374.46
M,55.5,127.4,230,165,267.5,662.5,373.25
M,51.5,126.9,220,150,230,600,338.45
M,59.5,58.3,115,85,125,325,280.96
M,60.5,58.7,60,80,100,240,206.29
M,68,65.8,170,80,205,455,357.31
M,65,65.2,105,105,145,355,280.69
M,61.5,72.05,200,122.5,235,557.5,410.61
M,64,68.75,197.5,130,210,537.5,408.88
M,68.5,72.75,125,95,175,395,289.06
M,62.5,82.1,180.5,120,245,545.5,370.54
M,61.5,75.55,180,130,185,495,353.48
M,62.5,79.45,160,95,225,480,332.34
M,65.5,82.35,122.5,92.5,200,415,281.41
M,63,90,205,110,235,550,355.63
M,68.5,90.65,160,107.5,215,482.5,310.86
M,65,84.95,162.5,100,200,462.5,308.24
M,64.5,98.35,200,100,200,500,310.01
M,60.5,112.6,100,90,220,410,240.74
M,69.5,65.5,120,112.5,130,362.5,285.64
M,69,72.95,120,107.5,150,377.5,275.75
M,69.5,90,90,95,185,370,239.24
M,69.5,97.45,110,70,215,395,245.92
M,69.5,108.65,162.5,137.5,162.5,462.5,275.21
F,43.5,46.9,115,91,140,346,454.17
F,34,46.5,107.5,72.5,145,325,429.32
F,27.5,46.05,115,52.5,152.5,320,425.8
F,32.5,46.1,115,70,135,320,425.45
F,31.5,46.6,105,70,122.5,297.5,392.37
F,34.5,46.15,90,55,125,270,358.68
F,27.5,46.25,82.5,52.5,120,255,338.21
F,23.5,50.55,140,82.5,162.5,385,478.68
F,27.5,50.65,140,72.5,167.5,380,471.8
F,33.5,51.9,147.5,82.5,150,380,463.8
F,45,51.15,150,70,152.5,372.5,459.3
F,37,49.9,122.5,75,155,352.5,442.32
F,38.5,51.4,132.5,75,135,342.5,420.87
F,25.5,47.7,105,40,125,270,350.02
F,38,55.95,167.5,77.5,185,430,498.72
F,34.5,56.6,147.5,87.5,172.5,407.5,469.03
F,46.5,56,152.5,85,167.5,405,469.44
F,27.5,56.3,125,97.5,175,397.5,459.13
F,32,55.35,135,95,152.5,382.5,446.82
F,34.5,56.8,142.5,87.5,145,375,430.63
F,37,55.85,127.5,80,155,362.5,420.93
F,25.5,54.85,130,82.5,147.5,360,423.1
F,27.5,55.7,125,77.5,132.5,335,389.69
F,25.5,56.2,115,70,150,335,387.39
F,43.5,56.9,130,65,137.5,332.5,381.38
F,26.5,55.95,115,90,125,330,382.74
F,30.5,56.95,110,82.5,132.5,325,372.56
F,31.5,56.15,95,65,142.5,302.5,350.01
F,36.5,56.1,105,42.5,147.5,295,341.54
F,40,60.65,142.5,137.5,197.5,477.5,525.76
F,31.5,62.4,150,112.5,177.5,440,476
F,37.5,61.85,160,80,182.5,422.5,459.57
F,38.5,62.25,145,95,180,420,455.04
F,25.5,61.95,142.5,107.5,167.5,417.5,453.68
F,29,61.25,137.5,77.5,182.5,397.5,434.99
F,33,62.35,152.5,72.5,162.5,387.5,419.41
F,29.5,62.75,110,75,162.5,347.5,374.65
F,36,62.75,105,80,162.5,347.5,374.65
F,35,60.65,122.5,72.5,150,345,379.87
F,35.5,65.25,172.5,107.5,230,510,537.07
F,28.5,68.15,185.5,122.5,200,508,521.57
F,29.5,71.05,165,102.5,160,427.5,428.74
F,30.5,71.4,155,85,172.5,412.5,412.58
F,31,67.65,152.5,80,160,392.5,404.7
F,36.5,68.25,150,70,172.5,392.5,402.65
F,27,68.85,122.5,65,160,347.5,354.71
F,36.5,66.2,125,60,135,320,334.12
F,28.5,67,110,55,145,310,321.42
F,40.5,83,195,127.5,190,512.5,474.28
F,25.5,79.85,180,110,190,480,452.7
F,24,75.5,162.5,100,202.5,465,451.32
F,23,80.1,160,105,192.5,457.5,430.81
F,24.5,77.9,170,107.5,175,452.5,432.13
F,30.5,84,155,85,170,410,377.26
F,25,121.8,230,112.5,217.5,560,447.48
F,21.5,112.5,230.5,102.5,180,513,419.75
F,52.5,124.15,175,102.5,230,507.5,403.49
F,23.5,106.1,160,87.5,185,432.5,361.01
F,29,108.75,170,82.5,180,432.5,357.9
F,29.5,85,145,80,165,390,356.86
F,17.5,50.95,85,45,122.5,252.5,312.2
F,17.5,56.5,105,75,137.5,317.5,365.87
F,17.5,56.75,110,67.5,137.5,315,361.93
F,17.5,55.4,100,57.5,115,272.5,318.13
F,16.5,56.1,75,37.5,105,217.5,251.81
F,17.5,63,110,60,153,323,347.39
F,16.5,60.65,117.5,62.5,142.5,322.5,355.09
F,16.5,62.75,100,67.5,150,317.5,342.3
F,17.5,61,117.5,67.5,130,315,345.59
F,17.5,70.15,137.5,77.5,145,360,363.62
F,16.5,82.25,130,70,152.5,352.5,327.65
F,17.5,79.25,110,62.5,150,322.5,305.31
F,17.5,81.45,90,57.5,122.5,270,252.16
F,17.5,131.6,120,57.5,160,337.5,264.71
F,22.5,42.7,90,65,115,270,380.62
F,22.5,45.85,120,65,145,330,440.54
F,22.5,45.55,102.5,57.5,137.5,297.5,399.12
F,21.5,46.8,95,60,120,275,361.54
F,20.5,47,85,57.5,100,242.5,317.81
F,19.5,51.4,130,97.5,127.5,355,436.23
F,23,51.9,122.5,70,142.5,335,408.88
F,22,52,127.5,67.5,135,330,402.24
F,20.5,51.8,97.5,55,150,302.5,369.71
F,22,51.5,90,67.5,135,292.5,358.94
F,22,49.55,80,52.5,120,252.5,318.43
F,21.5,50.75,97.5,45,105,247.5,306.86
F,18.5,50.25,70,47.5,117.5,235,293.41
F,20.5,51.05,80,47.5,100,227.5,280.9
F,22.5,55.5,135,80,152.5,367.5,428.52
F,23,55.8,122.5,60,152.5,335,389.23
F,19.5,55.45,120,65,117.5,302.5,352.94
F,20.5,56.55,92.5,70,127.5,290,333.98
F,21.5,56.75,110,50,122.5,282.5,324.59
F,20.5,62.75,137.5,90,150,377.5,406.99
F,20.5,61.55,140,65,157.5,362.5,395.49
F,22.5,62.5,122.5,85,147.5,355,383.67
F,21,60.95,125,70,135,330,362.23
F,22,60.85,110,60,157.5,327.5,359.86
F,19.5,62.7,117.5,82.5,122.5,322.5,347.86
F,22.5,61.65,112.5,75,130,317.5,346.05
F,21.5,59.35,110,72.5,125,307.5,343.24
F,18.5,60.25,100,60,132.5,292.5,323.4
F,19.5,61.7,105,67.5,120,292.5,318.64
F,22.5,70.1,147.5,85,177.5,410,414.28
F,18.5,66.45,150,70,137.5,357.5,372.46
F,21,69.7,140,65,140,345,349.73
F,22.5,71.05,120,57.5,155,332.5,333.47
F,22.5,70.05,102.5,60,142.5,305,308.31
F,20,69.35,90,50,125,265,269.39
F,22.5,82.95,165,102.5,167.5,435,402.68
F,19.5,82.4,145,80,165,390,362.18
F,21.5,75.5,145,67.5,162.5,375,363.97
F,21.5,82,135,70,167.5,372.5,346.75
F,21.5,82,142.5,72.5,155,370,344.42
F,20.5,78.65,130,80,147.5,357.5,339.74
F,21.5,115.7,195,82.5,210,487.5,395.37
F,21.5,138.9,172.5,120,180,472.5,367
F,22.5,112.35,150,80,190,420,343.8
F,19.5,104.5,147.5,80,165,392.5,329.42
F,19.5,115.65,150,85,130,365,296.06
F,21.5,87.9,137.5,70,147.5,355,319.85
F,47,46.9,95,70,125,290,380.66
F,40,42.85,72.5,40,105,217.5,305.77
F,40.5,49.95,90,40,130,260,326.01
F,47,51.2,102.5,52.5,102.5,257.5,317.28
F,42.5,51.35,82.5,42.5,125,250,307.41
F,45.5,51.5,70,52.5,112.5,235,288.38
F,48.5,50.85,80,45,107.5,232.5,287.87
F,42.5,55.55,122.5,80,145,347.5,404.96
F,41.5,56.35,122.5,85,127.5,335,386.71
F,47.5,56.65,82.5,52.5,132.5,267.5,307.71
F,40.5,56.25,85,40,120,245,283.15
F,47,61.55,122.5,85,145,352.5,384.58
F,44.5,61.6,130,87.5,132.5,350,381.66
F,40,57.7,115,70,152.5,337.5,383.61
F,42,62,102.5,72.5,132.5,307.5,333.98
F,43.5,62.45,100,65,117.5,282.5,305.46
F,41,71.15,135,77.5,172.5,385,385.82
F,40,71.3,137.5,75,150,362.5,362.85
F,39.5,67.7,130,65,150,345,355.57
F,40.5,68.15,112.5,57.5,120,290,297.75
F,43,82.55,182.5,100,187.5,470,436.09
F,46.5,80.3,152.5,110,175,437.5,411.47
F,40.5,79.15,125,50,175,350,331.56
F,46.5,83.8,132.5,65,135,332.5,306.3
F,41.5,75.75,127.5,65,137.5,330,319.73
F,43.5,74.95,110,62.5,155,327.5,319.09
F,44,83.25,95,62.5,147.5,305,281.85
F,40.5,107.25,177.5,102.5,180,460,382.5
F,40.5,117.1,175,82.5,200,457.5,369.7
F,45,96.45,110,92.5,167.5,370,320.31
F,47.5,86,100,65,135,300,273.02
F,49.5,45.95,90,62.5,115,267.5,356.52
F,54.5,42.95,85,62.5,110,257.5,361.35
F,55.5,51.75,75,70,138,283,346.11
F,56.5,51.95,85,60,110,255,311.03
F,51.5,56.45,100,70,140,310,357.43
F,57.5,54.2,92.5,50,145,287.5,340.61
F,55.5,54.9,90,52.5,125,267.5,314.19
F,50.5,60.75,140,85,142.5,367.5,404.22
F,55.5,61.4,85,62.5,130,277.5,303.21
F,55.5,64.05,112.5,70,127.5,310,330.09
F,54,70.9,85,60,122.5,267.5,268.59
F,50,83.5,135,90,170,395,364.5
F,49.5,102.8,147.5,70,180,397.5,335.65
F,59.5,44.45,77.5,47.5,120,245,334.83
F,66,45.25,80,45,115,240,323.58
F,59.5,50.65,105,50,137.5,292.5,363.16
F,60,62.1,85,60,132.5,277.5,301.1
F,66.5,84.7,75,25,102.5,202.5,185.6
M,43,55.9,230,130,250,610,546.84
M,33,58.48,227.5,171,271,669.5,577.28
M,32.5,58.8,222.5,140,225,587.5,504.25
M,37.5,58.58,215,150,212.5,577.5,497.23
M,33,59,220,110,240,570,487.85
M,30,58.38,175,142.5,230,547.5,472.76
M,35.5,58.48,192.5,140,207.5,540,465.62
M,26.5,58.84,180,127.5,215,522.5,448.21
M,32.5,58.46,175,112.5,192.5,480,414
M,26.5,65.5,245,160,265,670,527.94
M,30.5,64.88,235,150,272.5,657.5,521.81
M,33.5,64.88,230,157.5,267.5,655,519.82
M,24.5,65.68,245.5,155,240,640.5,503.66
M,37.5,65.84,212.5,155,265,632.5,496.47
M,23,65.84,222.5,122.5,282.5,627.5,492.55
M,23.5,65.88,197.5,147.5,242.5,587.5,460.94
M,24.5,65.16,182.5,125,255,562.5,444.97
M,24.5,65.14,200,125,217.5,542.5,429.24
M,26.5,65.38,180,130,220,530,418.2
M,24.5,62.68,142.5,110,190,442.5,360.62
M,39.5,73.76,257.5,170,302.5,730,529.38
M,27.5,73.74,255,190,277.5,722.5,524.04
M,25.5,73.98,257.5,185,275,717.5,519.31
M,27.5,73.12,242.5,162.5,292.5,697.5,508.71
M,25.5,73.38,242.5,187.5,260,690,502.07
M,40.5,73.86,230,152.5,300,682.5,494.5
M,41,72.3,235,140,300,675,496
M,25.5,72.18,235,157.5,270,662.5,487.35
M,34.5,72.95,240,160,260,660,482.1
